0.05	32	160     80
0.10	101	505     90
0.15	120	600     102
0.20	100	500     108
0.25	83	415     115
0.30	46	230     122
0.35	38	190     126
0.40	22	110     132
0.45	18	90      136
0.50	16	80      140
0.55	9	45      145
0.60	11	55      148
0.65	2	10      154
0.70	2	10      158
0.75	4	20      162
0.80	1	5       165
0.85	2	10      168
0.95	1	5       176
