0.000000 1617.000000 3162.000000 1545.000000 67.000000 662.000000 1625.000000
0.000010 1617.223500 3161.839000 1544.938000 67.013000 661.957000 1625.029500
0.000020 1617.398000 3161.707500 1544.894000 67.009000 661.986500 1625.005000
0.000030 1617.396000 3161.714000 1544.888500 66.995000 662.006500 1625.000000
0.000040 1617.541000 3161.584500 1544.874500 66.975500 662.063000 1624.961500
0.000050 1617.636000 3161.528000 1544.839500 66.986000 662.034000 1624.976500
0.000060 1617.742500 3161.423500 1544.835500 67.020000 662.071000 1624.907500
0.000070 1617.886000 3161.283000 1544.830500 67.025000 661.956000 1625.019500
0.000080 1618.052000 3161.079500 1544.868000 67.038000 661.931500 1625.031000
0.000090 1618.140500 3161.000500 1544.858500 67.054500 661.943000 1625.003000
0.000100 1618.307500 3160.801500 1544.890500 67.066000 661.981000 1624.953500
0.000110 1618.429500 3160.650000 1544.920500 67.052500 661.944500 1625.003000
0.000120 1618.452500 3160.642500 1544.905000 67.069000 661.856000 1625.075000
0.000130 1618.609000 3160.443000 1544.944000 67.080000 661.901000 1625.023000
0.000140 1618.642500 3160.440000 1544.911500 67.070000 661.946000 1624.990000
0.000150 1618.804000 3160.248000 1544.943000 67.053000 661.923000 1625.029000
0.000160 1618.886000 3160.196500 1544.909500 67.068500 661.917500 1625.022000
0.000170 1619.022500 3160.064500 1544.907000 67.052000 661.931500 1625.022500
0.000180 1619.109000 3159.922500 1544.964500 67.053500 661.991000 1624.959500
0.000190 1619.184000 3159.831000 1544.979500 67.064000 662.003000 1624.938500
0.000200 1619.304500 3159.737500 1544.952500 67.056500 662.025500 1624.923500
0.000210 1619.428500 3159.514500 1545.050000 67.051000 662.024500 1624.931500
0.000220 1619.525000 3159.380000 1545.086500 67.076000 662.006500 1624.926000
0.000230 1619.632000 3159.361500 1544.999000 67.071500 661.974500 1624.961500
0.000240 1619.721000 3159.243000 1545.026500 67.060000 662.017000 1624.932500
0.000250 1619.822000 3159.088000 1545.079000 67.066000 661.978500 1624.966500
0.000260 1619.870500 3159.028000 1545.092000 67.126500 661.899000 1624.984000
0.000270 1620.066000 3158.826000 1545.100000 67.111500 661.891500 1625.005000
0.000280 1620.104000 3158.856000 1545.030500 67.144500 661.800500 1625.064500
0.000290 1620.139000 3158.848000 1545.002000 67.127000 661.821500 1625.062500
0.000300 1620.237000 3158.707500 1545.041000 67.110000 661.818500 1625.086000
0.000310 1620.335500 3158.558500 1545.092000 67.126500 661.880500 1625.007000
0.000320 1620.525000 3158.392000 1545.067000 67.151500 661.831000 1625.033500
0.000330 1620.613500 3158.289000 1545.083000 67.159500 661.753500 1625.101500
0.000340 1620.705500 3158.176000 1545.106500 67.170500 661.711500 1625.130000
0.000350 1620.849000 3157.991500 1545.145000 67.161500 661.709000 1625.144000
0.000360 1620.965000 3157.778500 1545.240500 67.167500 661.671500 1625.177000
0.000370 1621.067000 3157.650000 1545.264500 67.151500 661.695000 1625.172000
0.000380 1621.145500 3157.597500 1545.240000 67.161000 661.685500 1625.170500
0.000390 1621.220500 3157.520500 1545.246500 67.148500 661.757000 1625.107000
0.000400 1621.249000 3157.497500 1545.242000 67.152500 661.729500 1625.129500
0.000410 1621.404000 3157.335000 1545.250500 67.157000 661.732500 1625.121000
0.000420 1621.550000 3157.125500 1545.314000 67.156000 661.662000 1625.192500
0.000430 1621.682500 3156.903500 1545.401000 67.158500 661.688000 1625.166500
0.000440 1621.770000 3156.794500 1545.420500 67.155500 661.704000 1625.155500
0.000450 1621.870500 3156.699000 1545.415000 67.158000 661.617500 1625.240000
0.000460 1621.931500 3156.534500 1545.520500 67.155000 661.616500 1625.242000
0.000470 1622.076500 3156.344500 1545.565500 67.122500 661.654000 1625.237000
0.000480 1622.171500 3156.257000 1545.555500 67.129000 661.670500 1625.216500
0.000490 1622.305000 3156.038500 1545.640000 67.141000 661.676500 1625.199000
0.000500 1622.477000 3155.863000 1545.643000 67.149500 661.579500 1625.288000
0.000510 1622.557500 3155.710000 1545.714500 67.182000 661.575500 1625.260500
0.000520 1622.622500 3155.571000 1545.791000 67.198500 661.582000 1625.235000
0.000530 1622.713000 3155.504000 1545.767500 67.174000 661.610500 1625.231000
0.000540 1622.851500 3155.340500 1545.791000 67.185500 661.540000 1625.291500
0.000550 1622.960500 3155.140000 1545.882500 67.187000 661.563500 1625.266500
0.000560 1623.072000 3155.026000 1545.883000 67.203500 661.544500 1625.271000
0.000570 1623.195500 3154.931500 1545.854000 67.200500 661.520500 1625.298000
0.000580 1623.255500 3154.836500 1545.890500 67.193500 661.505500 1625.318500
0.000590 1623.363000 3154.650000 1545.971000 67.182500 661.524500 1625.309000
0.000600 1623.433000 3154.556000 1545.994500 67.182000 661.612500 1625.222000
0.000610 1623.521000 3154.396000 1546.068000 67.216000 661.539500 1625.259500
0.000620 1623.696000 3154.184000 1546.104000 67.223500 661.537000 1625.255500
0.000630 1623.865000 3153.918500 1546.201500 67.257500 661.480500 1625.277000
0.000640 1623.919000 3153.833000 1546.234500 67.260000 661.503500 1625.250000
0.000650 1624.038500 3153.677000 1546.268000 67.265500 661.404500 1625.346500
0.000660 1624.146000 3153.519500 1546.317500 67.249500 661.440500 1625.327000
0.000670 1624.195500 3153.372000 1546.415000 67.243500 661.361000 1625.413000
0.000680 1624.367500 3153.211000 1546.406500 67.286000 661.362500 1625.366500
0.000690 1624.444500 3153.042000 1546.498500 67.277000 661.279000 1625.459000
0.000700 1624.544500 3152.986000 1546.452000 67.254500 661.338500 1625.424500
